subscriber_number,fid,created_at_timestamp
854,19727,1748376620.48135
855,260,1748376621.44186
856,528222,1748376621.44487
857,270228,1748376621.44696
858,368514,1748376621.44762
859,1090873,1748376621.44875
860,451344,1748376621.44987
861,454994,1748376621.45811
862,491799,1748376621.46005
863,7256,1748376621.46502
864,240586,1748376621.48038
865,1303,1748376621.73378
866,1090889,1748376622.95146
867,449129,1748376622.95458
868,901163,1748376622.95495
869,334050,1748376622.95910
870,429229,1748376622.95993
871,326736,1748376622.96677
872,340034,1748376622.96836
873,2163,1748376622.99932
874,574752,1748376623.01129
875,251745,1748376623.03295
876,1019643,1748376623.18000
877,320361,1748376623.18041
878,542378,1748376623.18096
879,227562,1748376623.18133
880,1086838,1748376623.18168
881,188778,1748376623.19401
882,1089665,1748376623.19966
883,5998,1748376623.21268
884,335852,1748376623.22593
885,1091091,1748376624.41821
886,244908,1748376624.41861
887,553407,1748376624.41957
888,884751,1748376624.46484
889,217261,1748376625.44863
890,825026,1748376625.45007
891,884061,1748376625.45268
892,411330,1748376625.45650
893,402726,1748376626.96198
894,289472,1748376626.96426
895,311845,1748376627.02200
896,772781,1748376627.21385
897,509624,1748376627.21621
898,187767,1748376627.21787
899,375831,1748376627.22659
900,533912,1748376627.22703
901,1735,1748376627.99535
902,324741,1748376628.43585
903,532363,1748376628.43926
904,888579,1748376628.43990
905,5406,1748376628.45431
906,344576,1748376629.44764
907,446539,1748376629.45072
908,16629,1748376629.47035
909,358490,1748376629.47075
910,926,1748376629.47108
911,6083,1748376629.47167
912,335957,1748376629.47200
913,901026,1748376630.97209
914,301277,1748376630.97664
915,370759,1748376630.98335
916,281676,1748376630.98371
917,380989,1748376630.98481
918,1087993,1748376630.99172
919,404134,1748376631.00703
920,236443,1748376631.20786
921,281250,1748376631.20835
922,698160,1748376631.21284
923,772386,1748376631.21318
924,260606,1748376631.21349
925,188589,1748376631.21393
926,262346,1748376631.21805
927,520572,1748376632.44486
928,283046,1748376632.44530
929,585161,1748376632.44572
930,421585,1748376632.44599
931,963307,1748376632.44717
932,13462,1748376632.44968
933,384021,1748376633.46627
934,12095,1748376633.46828
935,485419,1748376633.47035
936,426961,1748376633.48107
937,325303,1748376633.48145
938,9548,1748376633.50197
939,1090893,1748376634.98687
940,868306,1748376634.99077
941,8885,1748376635.00343
942,1023336,1748376635.00380
943,241818,1748376635.00504
944,9856,1748376635.00958
945,477126,1748376635.01101
946,303715,1748376635.04673
947,5220,1748376635.05244
948,453418,1748376635.08694
949,6035,1748376635.20425
950,20463,1748376635.23346
951,889235,1748376635.23402
952,252452,1748376635.23861
953,378176,1748376635.23966
954,258666,1748376635.24008
955,1087735,1748376635.26157
956,237157,1748376636.45006
957,338824,1748376636.45051
958,547472,1748376636.45090
959,236796,1748376637.50516
960,423733,1748376637.51059
961,657370,1748376638.23085
962,438822,1748376639.00809
963,22469,1748376639.01471
964,9297,1748376639.01501
965,1090913,1748376639.01538
966,921932,1748376639.02104
967,264401,1748376639.04177
968,7297,1748376639.26663
969,273060,1748376639.27332
970,1593,1748376639.27891
971,766280,1748376639.29222
972,568804,1748376639.30222
973,281461,1748376639.30696
974,310531,1748376640.61965
975,453244,1748376640.62011
976,252330,1748376640.63505
977,370155,1748376640.63543
978,201198,1748376641.48856
979,195897,1748376641.49765
980,334557,1748376641.50522
981,1089714,1748376641.50556
982,204221,1748376641.50702
983,507805,1748376641.54516
984,436137,1748376641.54566
985,384355,1748376641.54624
986,456309,1748376641.54663
987,1086825,1748376641.55751
988,2100,1748376643.03842
989,404894,1748376643.03984
990,1060402,1748376643.04153
991,14551,1748376643.04498
992,11528,1748376643.24280
993,11990,1748376643.24538
994,311341,1748376643.25251
995,1045640,1748376643.26156
996,528,1748376643.26870
997,356027,1748376643.27627
998,21024,1748376644.48510
999,274294,1748376644.48597
1000,1668,1748376644.48638
1001,486204,1748376644.48831
1002,330701,1748376644.49068
1003,1060772,1748376644.50766
1004,317405,1748376644.51591
1005,393610,1748376645.54940
1006,532450,1748376645.54978
1007,594123,1748376645.55009
1008,7468,1748376645.55039
1009,523791,1748376645.55070
1010,287989,1748376647.04155
1011,564077,1748376647.05431
1012,5431,1748376647.05468
1013,586012,1748376647.06672
1014,1025228,1748376647.06695
1015,497602,1748376647.11180
1016,333061,1748376647.11213
1017,1003507,1748376647.11246
1018,470918,1748376647.11280
1019,310033,1748376647.11340
1020,274035,1748376647.13928
1021,1045026,1748376647.28957
1022,226524,1748376647.29001
1023,793256,1748376647.29055
1024,5291,1748376647.29091
1025,396527,1748376647.29126
1026,8039,1748376647.31439
1027,570457,1748376647.31473
1028,551355,1748376648.49436
1029,337551,1748376648.49478
1030,474195,1748376648.49640
1031,253730,1748376648.49756
1032,534661,1748376649.56389
1033,1091191,1748376651.04183
1034,248111,1748376651.04804
1035,246310,1748376651.04949
1036,7331,1748376651.05369
1037,339047,1748376651.05807
1038,440594,1748376651.30196
1039,470866,1748376651.30937
1040,307105,1748376651.31142
1041,1091151,1748376651.31286
1042,682712,1748376651.31615
1043,229932,1748376651.31710
1044,4528,1748376651.32215
1045,1091216,1748376651.34604
1046,1058579,1748376652.51901
1047,417735,1748376652.51951
1048,569246,1748376652.52000
1049,975952,1748376653.52408
1050,333799,1748376653.52717
1051,189762,1748376653.53038
1052,1001299,1748376653.53059
1053,5860,1748376655.06270
1054,20578,1748376655.06273
1055,773025,1748376655.06495
1056,13893,1748376655.06769
1057,317608,1748376655.06938
1058,404143,1748376655.29285
